state,month,energySource,powerGenerated
AK,1,Coal,72839
AK,1,Hydroelectric Conventional,153314
AK,1,Natural Gas,279622
AK,1,Other,91400
AK,1,Solar Thermal and Photovoltaic,790
AK,1,Total,608532
AK,1,Wind,10567
AL,1,Coal,1807929
AL,1,Hydroelectric Conventional,1126937
AL,1,Natural Gas,5955110
AL,1,Other,4219851
AL,1,Solar Thermal and Photovoltaic,62761
AL,1,Total,13172589
AR,1,Coal,2213183
AR,1,Hydroelectric Conventional,414390
AR,1,Natural Gas,1847271
AR,1,Other,1476343
AR,1,Solar Thermal and Photovoltaic,66828
AR,1,Total,6018015
AZ,1,Coal,1364737
AZ,1,Hydroelectric Conventional,469864
AZ,1,Natural Gas,3665779
AZ,1,Other,3000016
AZ,1,Solar Thermal and Photovoltaic,493871
AZ,1,Total,9120692
AZ,1,Wind,126426
CA,1,Coal,21761
CA,1,Hydroelectric Conventional,1592974
CA,1,Natural Gas,9740956
CA,1,Other,3126312
CA,1,Solar Thermal and Photovoltaic,2192557
CA,1,Total,17710886
CA,1,Wind,1036326
CO,1,Coal,1890256
CO,1,Hydroelectric Conventional,117531
CO,1,Natural Gas,1729929
CO,1,Other,42497
CO,1,Solar Thermal and Photovoltaic,266021
CO,1,Total,5321833
CO,1,Wind,1275600
CT,1,Coal,0
CT,1,Hydroelectric Conventional,48897
CT,1,Natural Gas,2084261
CT,1,Other,1396048
CT,1,Solar Thermal and Photovoltaic,17875
CT,1,Total,3548386
CT,1,Wind,1306
DC,1,Natural Gas,8612
DC,1,Other,4966
DC,1,Solar Thermal and Photovoltaic,1737
DC,1,Total,15316
DE,1,Coal,17949
DE,1,Natural Gas,293884
DE,1,Other,28113
DE,1,Solar Thermal and Photovoltaic,5522
DE,1,Total,345709
DE,1,Wind,239
FL,1,Coal,828153
FL,1,Hydroelectric Conventional,22043
FL,1,Natural Gas,14711021
FL,1,Other,3133977
FL,1,Solar Thermal and Photovoltaic,874478
FL,1,Total,19569672
GA,1,Coal,2081739
GA,1,Hydroelectric Conventional,427655
GA,1,Natural Gas,5077637
GA,1,Other,4107267
GA,1,Solar Thermal and Photovoltaic,501137
GA,1,Total,12195434
HI,1,Hydroelectric Conventional,6120
HI,1,Other,679553
HI,1,Solar Thermal and Photovoltaic,39347
HI,1,Total,762415
HI,1,Wind,37396
IA,1,Coal,1821544
IA,1,Hydroelectric Conventional,73206
IA,1,Natural Gas,821711
IA,1,Other,27591
